state;stateName;pollster;startDate;endDate;numberOfObservations;biden;trump;other
WI;Wisconsin;Latino Decisions;10/14/2020;10/19/2020;400;50;45;
WI;Wisconsin;Change Research;10/16/2020;10/19/2020;400;52;44;
WI;Wisconsin;Ipsos;10/13/2020;10/19/2020;663;51;43;
WI;Wisconsin;YouGov;10/13/2020;10/16/2020;1112;51;46;
WI;Wisconsin;Civiqs;10/8/2020;10/11/2020;560;53;45;
WI;Wisconsin;David Binder Research;10/10/2020;10/13/2020;220;53;43;
WI;Wisconsin;Morning Consult;10/2/2020;10/11/2020;1067;51;44;
WI;Wisconsin;Ipsos;10/6/2020;10/11/2020;577;51;44;
WI;Wisconsin;NYT/Siena College;10/8/2020;10/11/2020;789;51;41;3
WI;Wisconsin;Baldwin Wallace University;9/30/2020;10/8/2020;883;49;43;2
WI;Wisconsin;Redfield & Wilton Strategies;10/4/2020;10/6/2020;688;51;41;
WI;Wisconsin;Marquette University Law School;9/30/2020;10/4/2020;700;46;41;4
WI;Wisconsin;Ipsos;9/29/2020;10/5/2020;601;50;44;
WI;Wisconsin;Change Research;10/2/2020;10/4/2020;586;51;44;
WI;Wisconsin;Redfield & Wilton Strategies;9/23/2020;9/25/2020;663;48;43;2
WI;Wisconsin;Marist College;9/20/2020;9/24/2020;727;54;44;
WI;Wisconsin;Hart Research Associates;9/17/2020;9/19/2020;400;51;44;
WI;Wisconsin;YouGov;9/10/2020;9/21/2020;664;50;46;
WI;Wisconsin;Baldwin Wallace University;9/8/2020;9/22/2020;853;50;41;2
WI;Wisconsin;Change Research;9/18/2020;9/20/2020;571;51;42;
WI;Wisconsin;Ipsos;9/11/2020;9/16/2020;609;48;43;
WI;Wisconsin;Redfield & Wilton Strategies;9/12/2020;9/16/2020;638;47;41;2
WI;Wisconsin;Civiqs;9/11/2020;9/15/2020;704;51;44;
WI;Wisconsin;ABC News/Washington Post;9/8/2020;9/13/2020;615;52;46;
WI;Wisconsin;SSRS;9/9/2020;9/13/2020;816;52;42;3
WI;Wisconsin;Morning Consult;9/3/2020;9/12/2020;769;50;43;
WI;Wisconsin;NYT/Siena College;9/8/2020;9/10/2020;760;48;43;2
WI;Wisconsin;Benenson Strategy Group/GS Strategy Group;8/28/2020;9/8/2020;1200;50;45;
WI;Wisconsin;Marquette University Law School;8/30/2020;9/3/2020;688;47;43;4
WI;Wisconsin;Change Research;9/4/2020;9/6/2020;501;50;44;
WI;Wisconsin;Redfield & Wilton Strategies;8/21/2020;9/3/2020;670;50;41;2
WI;Wisconsin;Morning Consult;8/28/2020;9/6/2020;770;51;43;
WI;Wisconsin;YouGov;9/2/2020;9/4/2020;978;50;44;
WI;Wisconsin;Hodas & Associates;8/11/2020;8/17/2020;600;52;44;
WI;Wisconsin;Fox News/Beacon Research/Shaw & Co. Research;8/29/2020;9/1/2020;801;50;42;2
WI;Wisconsin;Opinium;8/21/2020;8/28/2020;700;53;40;
WI;Wisconsin;Morning Consult;8/21/2020;8/30/2020;700;52;43;
WI;Wisconsin;Change Research;8/21/2020;8/23/2020;925;49;44;
WI;Wisconsin;Redfield & Wilton Strategies;8/16/2020;8/19/2020;672;49;39;
WI;Wisconsin;Civiqs;8/13/2020;8/17/2020;754;51;45;2
WI;Wisconsin;Morning Consult;8/7/2020;8/16/2020;788;49;43;
WI;Wisconsin;Change Research;8/7/2020;8/9/2020;384;47;43;
WI;Wisconsin;Marquette University Law School;8/4/2020;8/9/2020;694;49;44;
WI;Wisconsin;YouGov;7/27/2020;8/6/2020;734;49;43;
WI;Wisconsin;YouGov;8/4/2020;8/7/2020;994;48;42;
WI;Wisconsin;David Binder Research;7/30/2020;7/31/2020;200;53;42;
WI;Wisconsin;Hodas & Associates;7/22/2020;7/27/2020;600;52;38;
WI;Wisconsin;Global Strategy Group;7/11/2020;7/17/2020;600;51;42;
WI;Wisconsin;Redfield & Wilton Strategies;7/19/2020;7/24/2020;742;45;35;4
WI;Wisconsin;Change Research;7/24/2020;7/26/2020;392;48;43;
WI;Wisconsin;Morning Consult;7/17/2020;7/26/2020;809;50;43;
WI;Wisconsin;Gravis Marketing;7/22/2020;7/22/2020;796;50;42;
WI;Wisconsin;Change Research;7/10/2020;7/12/2020;601;48;42;
WI;Wisconsin;Change Research;6/26/2020;6/28/2020;400;51;43;
WI;Wisconsin;Redfield & Wilton Strategies;6/14/2020;6/19/2020;724;45;36;
WI;Wisconsin;Hodas & Associates;6/12/2020;6/16/2020;600;55;39;
WI;Wisconsin;NYT/Siena College;6/8/2020;6/15/2020;655;49;38;
WI;Wisconsin;Marquette University Law School;6/14/2020;6/18/2020;688;50;44;3
WI;Wisconsin;Change Research;6/12/2020;6/14/2020;400;48;44;
WI;Wisconsin;Fox News/Beacon Research/Shaw & Co. Research;5/30/2020;6/2/2020;801;49;40;
WI;Wisconsin;Change Research;5/29/2020;5/31/2020;328;45;45;
WI;Wisconsin;Redfield & Wilton Strategies;5/10/2020;5/14/2020;875;48;38;
WI;Wisconsin;Hodas & Associates;5/6/2020;5/8/2020;600;51;42;
WI;Wisconsin;Marquette University Law School;5/3/2020;5/7/2020;650;49;45;4
WI;Wisconsin;Hodas & Associates;4/13/2020;4/15/2020;600;50;45;
WI;Wisconsin;Public Policy Polling;4/20/2020;4/21/2020;1415;50;45;
WI;Wisconsin;Ipsos;4/15/2020;4/20/2020;645;43;40;
WI;Wisconsin;Garin-Hart-Yang Research Group;4/6/2020;4/8/2020;301;48;47;
WI;Wisconsin;Marquette University Law School;3/24/2020;3/29/2020;813;48;45;
WI;Wisconsin;Hodas & Associates;3/17/2020;3/19/2020;600;45;49;
WI;Wisconsin;Baldwin Wallace University;3/17/2020;3/25/2020;822;45;45;
WI;Wisconsin;Public Policy Polling;3/10/2020;3/11/2020;1727;48;45;
WI;Wisconsin;YouGov;3/6/2020;3/8/2020;459;44;42;
WI;Wisconsin;Optimus;3/5/2020;3/7/2020;502;43;45;
WI;Wisconsin;Expedition Strategies;2/6/2020;2/18/2020;500;42;44;
WI;Wisconsin;Marquette University Law School;2/19/2020;2/23/2020;1000;46;46;
WI;Wisconsin;YouGov;2/11/2020;2/20/2020;936;45;43;
WI;Wisconsin;Quinnipiac University;2/12/2020;2/18/2020;823;42;49;
WV;West Virginia;Triton Poling & Research;10/19/2020;10/20/2020;544;38;58;
WV;West Virginia;Research America Inc.;10/1/2020;10/6/2020;450;39;53;5
WV;West Virginia;Triton Poling & Research;9/29/2020;9/30/2020;525;38;56;
WV;Wyoming;University of Wyoming;10/8/2020;10/28/2020;614;31;59;
AK;Alaska;Election 2020-1;11/3/2020;11/3/2020;;43;54;
AZ;Arizona;Election 2020-1;11/3/2020;11/3/2020;;50;49;
AZ;Arizona;PPP;1/2/2020;1/4/2021;;46;46;
AR;Arkansas;Election 2020-1;11/3/2020;11/3/2020;;35;63;
AR;Arkansas;Hendrix Coll.-3;10/11/2020;10/13/2020;;34;58;
AR;Arkansas;Hendrix Coll.-2;6/9/2020;6/10/2020;;45;47;
CA;California;Election 2020-1;11/3/2020;11/3/2020;;64;34;
CA;California;YouGov;2/1/2020;2/15/2020;;60;30;
CO;Colorado;Election 2020-1;11/3/2020;11/3/2020;;52;40;
CT;Connecticut;Election 2020-1;11/3/2020;11/3/2020;;59;39;
DC;D.C.;Election 2020-1;11/3/2020;11.03.2020;;92;5;
FL;Florida;Florida Atlantic University;1/9/2020;1/12/2020;;51;49;
FL;Florida;Election 2020-1;11/3/2020;11/3/2020;;48;51;
GA;Georgia;Election 2020-1;11/3/2020;11.03.2020;;50;49;
HI;Hawaii;Election 2020-1;11/3/2020;11/3/2020;;65;34;
IL;Illinois;Victory Research;9/23/2020;9/26/2020;;53;40;
IL;Illinois;Election 2020-1;11/3/2020;11/3/2020;;57;41;
IN;Indiana;Victoria Research;5/21/2020;5/23/2020;;39;49;
IN;Indiana;Election 2020-1;11/3/2020;11/3/2020;;41;57;
IA;Iowa;Siena College;1/20/2020;1/23/2020;;44;46;
IA;Iowa;Election 2020-1;11/3/2020;11/3/2020;;45;53;
KS;Kansas;DFM Research;1/30/2020;2/6/2020;;43;51;
KS;Kansas;Election 2020-1;11/3/2020;11/3/2020;;41;57;
KY;Kentucky;Election 2020-1;11/3/2020;11/3/2020;;36;62;
LA;Louisiana;Election 2020-1;11/3/2020;11/3/2020;;40;59;
ME;Maine;Election 2020-1;11/3/2020;11/3/2020;;55;44;
MD;Maryland;Election 2020-1;11/3/2020;11/3/2020;;65;33;
MA;Massachusetts;YouGov;10/14/2020;10/21/2020;;64;29;
MA;Massachusetts;Emerson College;8/25/2020;8/27/2020;;69;31;
MA;Massachusetts;Emerson College;5/5/2020;5/6/2020;;67;33;
MA;Massachusetts;Emerson College;4/4/2020;4/07/2020;;69;31;
MA;Massachusetts;Election 2020-1;11/3/2020;11/3/2020;;65;33;
MI;Michigan;EPIC-MRA;1/9/2020;1/12/2020;;50;44;
MI;Michigan;Glengariff Group;1/3/2020;1/7/2020;;50;43;
MI;Michigan;Election 2020-1;11/3/2020;11/3/2020;;51;48;
MN;Minnesota;Election 2020-1;11/3/2020;11/3/2020;;53;45;
MS;Mississippi;Election 2020-1;11/3/2020;11/3/2020;;40;59;
MO;Missouri;Election 2020-1;11/3/2020;11/3/2020;;41;57;
MT;Montana;Emerson College;7/31/2020;8/2/2020;;42;53;
MT;Montana;Election 2020-1;11/3/2020;11/3/2020;;40;57;
NV;Nevada;Emerson College;10/29/2020;10/31/2020;;49;47;
NV;Nevada;Fox News/Beacon Research/Shaw & Co. Research;1/5/2020;1/8/2020;;47;39;
NV;Nevada;Election 2020-1;11/3/2020;11/3/2020;;50;48;
NH;New Hampshire;Marist College;1/20/2020;1/23/2020;;51;43;
NH;New Hampshire;Election 2020-1;11/3/2020;11/3/2020;;53;46;
NJ;New Jersey;Emerson College;9/4/2020;9/7/2020;;58;40;
NJ;New Jersey;Election 2020-1;11/3/2020;11/3/2020;;57;41;
NM;New Mexico;Emerson College;1/3/2020;1/6/2020;;54;46;
NM;New Mexico;Election 2020-1;11/3/2020;11/3/2020;;54;44;
NY;New York;Election 2020-1;11/3/2020;11/3/2020;;56;43;
NC;North Carolina;Election 2020-1;11/3/2020;11/3/2020;;49;50;
ND;North Dakota;DFM Research;1/28/2020;2/1/2020;;38;57;
ND;North Dakota;Election 2020-1;11/3/2020;11/3/2020;;32;65;
OH;Ohio;Emerson College;5/8/2020;5/10/2020;;49;51;
OH;Ohio;Election 2020-1;11/3/2020;11/3/2020;;45;53;
OK;Oklahoma;SoonerPoll;8/13/2020;8/31/2020;;35;60;
OK;Oklahoma;Election 2020-1;11/3/2020;11/3/2020;;32;65;
OR;Oregon;Election 2020-1;11/3/2020;11/3/2020;;57;40;
PA;Pennsylvania;Civiqs;2/27/2020;3/3/2020;;46;48;
PA;Pennsylvania;Election 2020-1;11/3/2020;11/3/2020;;50;49;
SC;South Carolina;East Carolina University;1/31/2020;2/2/2020;;40;52;
SC;South Carolina;Election 2020-1;11/3/2020;11/3/2020;;43;55;
SD;South Dakota;Election 2020-1;11/3/2020;11/3/2020;;36;62;
TN;Tennessee;Mason-Dixon Polling & Strategy;1/28/2020;1/30/2020;;39;55;
TN;Tennessee;Election 2020-1;11/3/2020;11/3/2020;;37;61;
TX;Texas;Emerson College;5/8/2020;5/10/2020;;48;52;
TX;Texas;YouGov;1/31/2020;2/9/2020;;43;47;
TX;Texas;University of Texas at Tyler;1/21/2020;1/30/2020;;44;46;
TX;Texas;Data for Progress;1/16/2020;1/21/2020;;40;54;
TX;Texas;Texas Lyceum;1/10/2020;1/19/2020;;46;51;
TX;Texas;Election 2020-1;11/3/2020;11/3/2020;;46;52;
UT;Utah;RMG Research;1/15/2020;1/22/2020;;31;49;
UT;Utah;Election 2020-1;11/3/2020;11/3/2020;;38;58;
VT;Vermont;Election 2020-1;11/3/2020;11/3/2020;;66;31;
VA;Virginia;Election 2020-1;11/3/2020;11/3/2020;;54;44;
WA;Washington;Election 2020-1;11/3/2020;11/3/2020;;58;39;
WV;West Virginia;Election 2020-1;11/3/2020;11/3/2020;;30;69;
WI;Wisconsin;Marquette University Law School;1/8/2020;1/12/2020;;49;45;
WI;Wisconsin;Fox News/Beacon Research/Shaw & Co. Research;1/5/2020;1/8/2020;;46;41;
WI;Wisconsin;Election 2020-1;11/3/2020;11/3/2020;;50;49;
WV;Wyoming;Election 2020-1;11/3/2020;11.03.2020;;27;70;
DE;Delaware;University of Delaware;9/21/2020;9/27/2020;847;54;33;
DE;Delaware;Public Policy Polling;8/21/2020;8/22/2020;710;58;37;
DE;Delaware;Gonzales Research;1/16/2020;1/19/2020;;56;40;
DE;Delaware;Election 2020-1;11/3/2020;11/3/2020;;59;40;
ID;Idaho;Election 2020-1;11/3/2020;11/3/2020;;33;64;
NE;Nebraska;Election 2020-1;11/3/2020;11/3/2020;;39;59;
RI;Rhode Island;Election 2020-1;11/3/2020;11/3/2020;;60;39;
